horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.0008230925143868371,6.569497965666845e-05,0.0003528699263088771,0.3394423772080809
6,0.1,400,0,uniform,300,0.0024248372320415223,0.000211168454125515,-0.003884849367546896,1.0
6,0.1,400,1,tis,300,0.00012755635857574296,1.037817359547812e-05,4.1314666311404825e-05,0.0761990808478796
6,0.1,400,1,uniform,300,0.0016739881525656552,0.0001340792799131573,0.0023172616521596147,1.0
6,0.1,400,2,tis,300,5.596841263825978e-05,4.417295296528214e-06,0.0004273571511828441,0.23511935089467298
6,0.1,400,2,uniform,300,0.0002380425618958607,1.9401507997792984e-05,0.00016287968728921095,1.0
6,0.1,400,3,tis,300,0.000705588342286237,5.973574302259869e-05,0.002033843525922648,0.2383280339087968
6,0.1,400,3,uniform,300,0.0029605763565198166,0.0002750341570626032,0.001046761617188164,1.0
6,0.1,400,4,tis,300,0.00032412920218473986,2.486877866221577e-05,-0.0010773988856159974,0.21062311927902116
6,0.1,400,4,uniform,300,0.001538906095846736,0.0001226036475293021,0.0012410772890627834,1.0
6,0.1,400,5,tis,300,0.0002073886025143843,1.62228514321171e-05,0.0008382956909143391,0.10375712853202594
6,0.1,400,5,uniform,300,0.0019987889550198107,0.00016551167356687884,0.003205795221833221,1.0
6,0.1,400,6,tis,300,0.003156574560710447,0.00028346070618353924,0.0009786841546634629,0.14477779410367778
6,0.1,400,6,uniform,300,0.021802891667557604,0.0016924446853321536,0.006414058629701655,1.0
6,0.1,400,7,tis,300,0.0003794388349273113,2.9192491029130853e-05,-0.0011960785743410107,0.10669813809816847
6,0.1,400,7,uniform,300,0.0035561898425838095,0.0002979493610588686,0.0039854911953954,1.0
6,0.1,400,8,tis,300,0.00033858652949869607,2.8913167501028438e-05,0.0008542659411736508,0.31573050666122526
6,0.1,400,8,uniform,300,0.00107239092312988,9.509875911940924e-05,0.002164211404318522,1.0
6,0.1,400,9,tis,300,0.000276897039501839,2.3460903777123465e-05,-0.00023898464064652235,0.08370463839037247
6,0.1,400,9,uniform,300,0.003308025036921814,0.00024915706490898234,0.00413803891181051,1.0
6,0.1,400,10,tis,300,0.0004258809115069917,3.263402363910135e-05,-0.0019290973413077276,0.11840735752091967
6,0.1,400,10,uniform,300,0.003596743651945353,0.0002898953364655026,-0.0015401840329386325,1.0
6,0.1,400,11,tis,300,0.00039906128445302963,3.098835178403913e-05,0.00040409625402371884,0.16638247709673012
6,0.1,400,11,uniform,300,0.0023984574061908367,0.0002018002970232076,0.0005468975471480708,1.0
6,0.1,400,12,tis,300,0.0003032955521774346,2.1800013119309554e-05,0.0002546825623444556,0.23735717935020342
6,0.1,400,12,uniform,300,0.0012778023104577927,0.00010195646715294374,0.0011906089639684343,1.0
6,0.1,400,13,tis,300,0.00022845363651060704,1.8356721265411927e-05,-0.0005396299503330416,0.08013408459164055
6,0.1,400,13,uniform,300,0.0028508921974312903,0.00022555743243389494,0.003082222128278328,1.0
6,0.1,400,14,tis,300,4.022419311032768e-05,3.400975364529339e-06,-0.0003982366277862459,0.11834415528742762
6,0.1,400,14,uniform,300,0.00033989167452024504,2.9015901896477212e-05,-0.00045901541600050776,1.0
6,0.1,400,15,tis,300,0.0003169264254344687,2.5968533750053994e-05,-0.0011201072250932283,0.19774969895277972
6,0.1,400,15,uniform,300,0.001602664515358615,0.0001316217791914333,-0.0010194926880903496,1.0
6,0.1,400,16,tis,300,5.855927473953518e-05,5.212657669009363e-06,0.0006383862386477516,0.158499919731508
6,0.1,400,16,uniform,300,0.000369459333725418,3.237853558585378e-05,0.0008166290618353885,1.0
6,0.1,400,17,tis,300,0.0005403048424866457,4.343295032921216e-05,0.0010045514692893528,0.1388366687647298
6,0.1,400,17,uniform,300,0.003891658070550777,0.0003220963086515448,0.00895744193250828,1.0
6,0.1,400,18,tis,300,0.005072330298365285,0.0003844897689245961,0.001818329281713235,0.1426520849492328
6,0.1,400,18,uniform,300,0.03555735130103729,0.0026685026547576835,0.019606698347135007,1.0
