horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,complete_rollout,300,0.0008570429251906816,6.696022774722053e-05,0.0008620390502824697,0.028640263430557113
2,0.1,50,0,tis,300,0.03039765091618518,0.003233571943077604,0.010798739017379775,1.0158146159551604
2,0.1,50,0,uniform,300,0.029924407897599085,0.0024142478328380915,0.009706803397047098,1.0
2,0.1,50,1,complete_rollout,300,0.0008031987119089662,5.685602380535278e-05,0.0013095678406568733,0.02783533894811473
2,0.1,50,1,tis,300,0.03632528427548242,0.00374050968142019,0.05974629359677157,1.2588747780627363
2,0.1,50,1,uniform,300,0.028855359491261605,0.002754838017006332,-0.007091569318480322,1.0
2,0.1,50,2,complete_rollout,300,0.0003202876845532078,2.5676566382966653e-05,0.0003710827337638678,0.027651115229552006
2,0.1,50,2,tis,300,0.010362080979124494,0.0008921955573545428,0.01950395960549698,0.894580431874588
2,0.1,50,2,uniform,300,0.01158317420090535,0.0009023632371270273,0.0124835353182168,1.0
2,0.1,50,3,complete_rollout,300,2.272403911593887e-06,3.6629280544875005e-07,8.947091095134437e-05,0.043955530303041
2,0.1,50,3,tis,300,9.515141284522988e-05,4.004977834593406e-05,-0.0004618902962659525,1.8405314254903162
2,0.1,50,3,uniform,300,5.1697793108792816e-05,2.144808205803316e-05,-0.00022044443296396135,1.0
2,0.1,50,4,complete_rollout,300,0.000437154055638796,4.063649887012465e-05,-0.0006192020818532144,0.0250329561386028
2,0.1,50,4,tis,300,0.010463185780244723,0.001272726744017043,0.010756120597508927,0.5991582768783392
2,0.1,50,4,uniform,300,0.017463141517060778,0.0012088241599991722,0.021079209802558695,1.0
2,0.1,50,5,complete_rollout,300,0.0005173365950845436,3.730466645612795e-05,5.759783356489893e-05,0.03147322175067547
2,0.1,50,5,tis,300,0.007205303069455017,0.0013594882503613717,0.01877644359918185,0.43834923614618976
2,0.1,50,5,uniform,300,0.016437357420310512,0.0016490089589695706,0.041087056523023614,1.0
2,0.1,50,6,complete_rollout,300,0.0005200236265773192,4.321587342933935e-05,-0.0006398997703302368,0.03594624120521579
2,0.1,50,6,tis,300,0.010349157853188594,0.001240521378044361,0.012040023400655379,0.715377735642667
2,0.1,50,6,uniform,300,0.014466703865044556,0.0010047140899242777,0.01707694841851809,1.0
2,0.1,50,7,complete_rollout,300,0.00017230440490280616,1.3647859815224229e-05,0.0005886762593989196,0.028522836766864464
2,0.1,50,7,tis,300,0.005572695404174768,0.0007608480073414723,-0.0012641358068950263,0.9224899471049103
2,0.1,50,7,uniform,300,0.006040928057442573,0.0005126206462288603,0.0018995651482879175,1.0
2,0.1,50,8,complete_rollout,300,0.0001502767376440461,1.1138634262925602e-05,0.000622014849834029,0.009257959494405553
2,0.1,50,8,tis,300,0.012851142587409943,0.003984070647858773,0.028150985077313954,0.7917084133998378
2,0.1,50,8,uniform,300,0.016232166249469562,0.0036500546286204103,0.047047939147758434,1.0
2,0.1,50,9,complete_rollout,300,0.0018230788046688692,0.00015031261342908123,0.0021307590993280166,0.027577214760081716
2,0.1,50,9,tis,300,0.021600429046700998,0.002763556063233966,0.022162829546545196,0.3267437859544286
2,0.1,50,9,uniform,300,0.06610815561068892,0.0054423256825759225,-0.01017530357873448,1.0
2,0.1,50,10,complete_rollout,300,0.000551627489292094,4.2242255799255374e-05,0.0009376496775410883,0.02901219641857189
2,0.1,50,10,tis,300,0.006997656588770543,0.0011774996510120846,0.010734694508578387,0.368033485212381
2,0.1,50,10,uniform,300,0.019013641067829486,0.0014591260546216417,0.03875615517204666,1.0
2,0.1,50,11,complete_rollout,300,0.0002182059461815261,4.004690024065626e-05,0.006477655677655684,0.009752291570305455
2,0.1,50,11,tis,300,0.020215859543209137,0.0034303126831737346,0.06468008107168123,0.9035086351208191
2,0.1,50,11,uniform,300,0.022374838222222224,0.002914835845563506,0.08069185185185186,1.0
2,0.1,50,12,complete_rollout,300,0.00110392686372195,9.271640974967456e-05,0.0008116927578288939,0.01816727808584172
2,0.1,50,12,tis,300,0.01582979986237665,0.003199429893885744,0.029234092758246812,0.2605103522650125
2,0.1,50,12,uniform,300,0.060764571253096616,0.0044812021353119865,0.057167589379725464,1.0
2,0.1,50,13,complete_rollout,300,5.287903058048607e-06,5.598858296398562e-07,-0.00011762568639987555,0.026959165263410006
2,0.1,50,13,tis,300,0.0002393823839790377,6.134304552544292e-05,0.0005189337479526864,1.2204363771414335
2,0.1,50,13,uniform,300,0.00019614491051121483,3.9461444581802634e-05,0.00023828884351467756,1.0
2,0.1,50,14,complete_rollout,300,3.8825797212239855e-05,3.055550549392666e-06,0.0010147235812572849,0.017852441906591812
2,0.1,50,14,tis,300,0.002355635410211963,0.00048493006836818466,0.01094224486769534,1.0831418112043851
2,0.1,50,14,uniform,300,0.002174817171532364,0.00027075507363332716,0.01821658764312143,1.0
2,0.1,50,15,complete_rollout,300,7.703719777548943e-34,0.0,2.7755575615628914e-17,7.703719777548942e-19
2,0.1,50,15,tis,300,0.0,0.0,0.0,0.0
2,0.1,50,15,uniform,300,0.0,0.0,0.0,0.0
2,0.1,50,16,complete_rollout,300,0.00016200918033863746,1.2735663004939233e-05,-0.0015159118669008716,0.03292845512701437
2,0.1,50,16,tis,300,0.003259108904699472,0.0004590751730815729,0.003959580179073848,0.662415679766608
2,0.1,50,16,uniform,300,0.00492003586909019,0.0005635064932273489,0.004482071039082125,1.0
2,0.1,50,17,complete_rollout,300,0.00017057284584555285,1.3620575071632426e-05,-0.0003935100162497122,0.020569070748309548
2,0.1,50,17,tis,300,0.008040869260281469,0.0014742283503501761,0.001410251090976983,0.969633870342963
2,0.1,50,17,uniform,300,0.008292686039770233,0.0008291194704699391,-0.008453205579945201,1.0
2,0.1,50,18,complete_rollout,300,0.0011953615856842123,9.79575414556541e-05,0.0023006382665655416,0.030612096130473446
2,0.1,50,18,tis,300,0.04100622939348637,0.004899070571084506,0.039338841693108195,1.0501313168961657
2,0.1,50,18,uniform,300,0.03904866823197595,0.002489226123507712,0.016265563785491356,1.0
2,0.1,50,19,complete_rollout,300,0.00025724481778369727,2.3939733979730634e-05,0.00306686131266075,0.021491391759096645
2,0.1,50,19,tis,300,0.0037430303930581967,0.0006627865151912406,0.005707293152208781,0.31270963293441023
2,0.1,50,19,uniform,300,0.011969667700781334,0.0009318944468385855,0.02006922110102068,1.0
2,0.1,50,20,complete_rollout,300,0.0004588466359423435,4.18312989929632e-05,0.0020723213769382833,0.026465689396883558
2,0.1,50,20,tis,300,0.007511474871782517,0.000993395940281034,0.007473066719023769,0.4332523010892721
2,0.1,50,20,uniform,300,0.017337414834029397,0.0012780450664141266,0.029657126423743397,1.0
2,0.1,50,21,complete_rollout,300,0.0002548084480279754,1.8928853144895613e-05,-0.00038338924816192757,0.025690116157405185
2,0.1,50,21,tis,300,0.0036352413805283705,0.0009146432102420437,0.0029813121147049698,0.3665097215133408
