horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,100,0,complete_rollout,300,0.0006639624471989625,5.0169990951069486e-05,0.002570308130047104,0.07357912740075372
6,0.1,100,0,learned_mean,300,0.005944238665737432,0.004907047782814064,-0.01030804172723415,0.658729866322874
6,0.1,100,0,learned_occupancy,300,0.0012603149764189889,0.00014441750517111047,-0.005952366169185142,0.13966584496791945
6,0.1,100,0,occ_plus_mean,300,0.00111315584025886,0.0001281776382913203,-0.0064432315132255495,0.1233579334687224
6,0.1,100,0,occ_plus_uniform,300,0.0012372606906343021,9.399210616556548e-05,0.00015316796640311528,0.1371110103714132
6,0.1,100,0,oracle_tail,300,0.00027898284818341163,2.2099992947904322e-05,-0.0019261691110074015,0.03091637880381686
6,0.1,100,0,tis,300,0.006450683817094307,0.00498279408075508,-0.010807559833018381,0.7148532095486619
6,0.1,100,0,tis_anchored,300,0.000978434089905564,0.00010391762626146132,-0.006269914594540477,0.10842831075479309
6,0.1,100,0,uniform,300,0.009023788004207306,0.0007218927069746578,0.005760009349933508,1.0
6,0.1,100,1,complete_rollout,300,0.0,0.0,0.0,0.0
6,0.1,100,1,learned_mean,300,0.0,0.0,0.0,0.0
6,0.1,100,1,learned_occupancy,300,0.0,0.0,0.0,0.0
6,0.1,100,1,occ_plus_mean,300,0.0,0.0,0.0,0.0
6,0.1,100,1,occ_plus_uniform,300,0.0,0.0,0.0,0.0
6,0.1,100,1,oracle_tail,300,0.0,0.0,0.0,0.0
6,0.1,100,1,tis,300,0.0,0.0,0.0,0.0
6,0.1,100,1,tis_anchored,300,0.0,0.0,0.0,0.0
6,0.1,100,1,uniform,300,0.0,0.0,0.0,0.0
6,0.1,100,2,complete_rollout,300,0.006617499986625291,0.00045914610660328074,0.004552520704978402,0.08540197617880879
6,0.1,100,2,learned_mean,300,0.10294380509955663,0.011205522187890945,0.09440211761716766,1.3285386337192426
6,0.1,100,2,learned_occupancy,300,0.01343948103858837,0.0012749367284120067,0.004390079077034873,0.17344287749646006
6,0.1,100,2,occ_plus_mean,300,0.01364898147697457,0.0015816279447479042,0.00332329647029766,0.17614658002531075
6,0.1,100,2,occ_plus_uniform,300,0.0144414260206108,0.00113051313858737,-0.001632604063313424,0.18637345273788042
6,0.1,100,2,oracle_tail,300,0.004589442025846024,0.00035919384961411555,0.0022270896038552213,0.05922892623460457
6,0.1,100,2,tis,300,0.10562274660705258,0.011185435025267866,0.09449680021846417,1.3631116445647273
6,0.1,100,2,tis_anchored,300,0.012928250407163788,0.001367797869113232,0.0037042567507590157,0.16684520370801403
6,0.1,100,2,uniform,300,0.07748649718327388,0.006919758392618302,0.03015241247197326,1.0
6,0.1,100,3,complete_rollout,300,0.005420142391999662,0.00042277870502428614,-0.0011672586624393707,0.050361358585326345
6,0.1,100,3,learned_mean,300,0.2294765498631424,0.02885768856186261,0.1500586084569329,2.132185831803873
6,0.1,100,3,learned_occupancy,300,0.009966741051076628,0.0008391906851813735,0.01552874886875645,0.09260616856509953
6,0.1,100,3,occ_plus_mean,300,0.01227484224200765,0.0009176069965916669,0.020547068523874498,0.11405193572783483
6,0.1,100,3,occ_plus_uniform,300,0.011537434569234157,0.0008143727412539164,0.014555093536411072,0.10720029797622663
6,0.1,100,3,oracle_tail,300,0.004435114570835322,0.000369964214758909,0.0048810446965611536,0.04120895340287166
6,0.1,100,3,tis,300,0.26601805782426213,0.030277360688521385,0.1690135401931712,2.4717119646218655
6,0.1,100,3,tis_anchored,300,0.012312295253574412,0.0009243263813107352,0.01771335963476326,0.11439993111415497
6,0.1,100,3,uniform,300,0.10762502331656547,0.007474632048829896,0.05703189281278783,1.0
6,0.1,100,4,complete_rollout,300,0.0,0.0,0.0,0.0
6,0.1,100,4,learned_mean,300,0.0,0.0,0.0,0.0
6,0.1,100,4,learned_occupancy,300,0.0,0.0,0.0,0.0
6,0.1,100,4,occ_plus_mean,300,0.0,0.0,0.0,0.0
6,0.1,100,4,occ_plus_uniform,300,0.0,0.0,0.0,0.0
6,0.1,100,4,oracle_tail,300,0.0,0.0,0.0,0.0
6,0.1,100,4,tis,300,0.0,0.0,0.0,0.0
6,0.1,100,4,tis_anchored,300,0.0,0.0,0.0,0.0
