horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.00069454115770202,5.511519824155616e-05,-0.00032761851223482927,0.2864279501009109
6,0.1,400,0,uniform,300,0.0024248372320415223,0.000211168454125515,-0.003884849367546896,1.0
6,0.1,400,1,tis,300,0.00013898838799357237,1.2354982748162766e-05,7.128434078926511e-05,0.08302829848619322
6,0.1,400,1,uniform,300,0.0016739881525656552,0.0001340792799131573,0.0023172616521596147,1.0
6,0.1,400,2,tis,300,4.644947428951828e-05,4.230686396183415e-06,0.0004904569244384464,0.19513096279748107
6,0.1,400,2,uniform,300,0.0002380425618958607,1.9401507997792984e-05,0.00016287968728921095,1.0
6,0.1,400,3,tis,300,0.0006125287142431751,5.196334559419189e-05,0.0020684911547201954,0.20689509084751592
6,0.1,400,3,uniform,300,0.0029605763565198166,0.0002750341570626032,0.001046761617188164,1.0
6,0.1,400,4,tis,300,0.00031943772911248257,2.4212619738899266e-05,-0.000847645230882487,0.20757454270575343
6,0.1,400,4,uniform,300,0.001538906095846736,0.0001226036475293021,0.0012410772890627834,1.0
6,0.1,400,5,tis,300,0.0001926963349882577,1.3736866715972343e-05,0.0010334058942315979,0.09640654382460694
6,0.1,400,5,uniform,300,0.0019987889550198107,0.00016551167356687884,0.003205795221833221,1.0
6,0.1,400,6,tis,300,0.0036531654108557833,0.0004429720868123861,0.00385598537431734,0.16755416972014048
6,0.1,400,6,uniform,300,0.021802891667557604,0.0016924446853321536,0.006414058629701655,1.0
6,0.1,400,7,tis,300,0.0003585983122652138,2.94499451417155e-05,-0.00020568816392352752,0.10083778654647643
6,0.1,400,7,uniform,300,0.0035561898425838095,0.0002979493610588686,0.0039854911953954,1.0
6,0.1,400,8,tis,300,0.00031405953331778517,2.4819714566631754e-05,0.0007107871865889903,0.2928591864626857
6,0.1,400,8,uniform,300,0.00107239092312988,9.509875911940924e-05,0.002164211404318522,1.0
6,0.1,400,9,tis,300,0.0002559509408830625,2.333799664779971e-05,1.0761066673133553e-06,0.07737273388995573
6,0.1,400,9,uniform,300,0.003308025036921814,0.00024915706490898234,0.00413803891181051,1.0
6,0.1,400,10,tis,300,0.0003800410172440026,3.0183626869990953e-05,-0.0016579556396668202,0.10566252533411762
6,0.1,400,10,uniform,300,0.003596743651945353,0.0002898953364655026,-0.0015401840329386325,1.0
6,0.1,400,11,tis,300,0.00038311251573537055,2.9489784487449673e-05,0.00039780723467522854,0.15973288278811637
6,0.1,400,11,uniform,300,0.0023984574061908367,0.0002018002970232076,0.0005468975471480708,1.0
6,0.1,400,12,tis,300,0.0002651017578882729,1.9663782877461563e-05,-7.35905696961033e-05,0.2074669576965282
6,0.1,400,12,uniform,300,0.0012778023104577927,0.00010195646715294374,0.0011906089639684343,1.0
6,0.1,400,13,tis,300,0.00020340072670021773,1.8729540848313834e-05,-0.0006178925088194982,0.07134634093968399
6,0.1,400,13,uniform,300,0.0028508921974312903,0.00022555743243389494,0.003082222128278328,1.0
6,0.1,400,14,tis,300,3.3166638110391696e-05,2.6090643457367606e-06,-0.0002832274546763121,0.09758002503946646
6,0.1,400,14,uniform,300,0.00033989167452024504,2.9015901896477212e-05,-0.00045901541600050776,1.0
6,0.1,400,15,tis,300,0.00028522931214169635,2.281481642167935e-05,-0.0013798625671822455,0.17797193948471055
6,0.1,400,15,uniform,300,0.001602664515358615,0.0001316217791914333,-0.0010194926880903496,1.0
6,0.1,400,16,tis,300,5.0870638897644614e-05,4.624642943160699e-06,0.0008119312016784027,0.13768941329670575
6,0.1,400,16,uniform,300,0.000369459333725418,3.237853558585378e-05,0.0008166290618353885,1.0
6,0.1,400,17,tis,300,0.0004881476863379123,4.338346439735793e-05,0.0009506800501552933,0.12543437205643967
6,0.1,400,17,uniform,300,0.003891658070550777,0.0003220963086515448,0.00895744193250828,1.0
6,0.1,400,18,tis,300,0.005139821791204755,0.000379568016113227,0.0016911620968761405,0.14455018732103406
6,0.1,400,18,uniform,300,0.03555735130103729,0.0026685026547576835,0.019606698347135007,1.0
6,0.1,400,19,tis,300,0.0001119583190492021,1.0738001254251934e-05,-0.0001568260185059241,0.0900276418742465
6,0.1,400,19,uniform,300,0.001243599373685574,0.00010488382004673158,0.001390058049726303,1.0
6,0.1,400,20,tis,300,0.0003558963560797147,2.9127343931831237e-05,-0.0015142674164859962,0.11999032367403652
6,0.1,400,20,uniform,300,0.0029660421372521345,0.0002873149654526516,0.0026137927096567186,1.0
6,0.1,400,21,tis,300,0.0004320111089183819,3.152438588551464e-05,-0.0030129370787566117,0.11539020122050125
6,0.1,400,21,uniform,300,0.0037439150322031585,0.0003132058589992593,-0.003655571479156813,1.0
6,0.1,400,22,tis,300,0.00045610923877965946,3.6310547748511936e-05,0.0009665535891683375,0.28092905201519464
6,0.1,400,22,uniform,300,0.0016235744772847126,0.00013237433798896187,0.0039923685999768066,1.0
6,0.1,400,23,tis,300,0.0004975239132686927,4.415720529806381e-05,-0.0006675327676826371,0.10831269474391056
6,0.1,400,23,uniform,300,0.004593403519735289,0.00038170533108898796,0.001183815039767191,1.0
6,0.1,400,24,tis,300,0.00018456803482885296,1.4129240425289083e-05,0.0002467517738212118,0.0672472297980066
6,0.1,400,24,uniform,300,0.0027446191520936686,0.0002094463001816679,0.0036193375464246102,1.0
6,0.1,400,25,tis,300,0.00048662171665571206,3.8928207983549326e-05,-0.0010470469577467556,0.17938781909765
6,0.1,400,25,uniform,300,0.0027126798190841425,0.00020658920624936855,0.00140453302339217,1.0
6,0.1,400,26,tis,300,6.080385326563958e-05,4.736582038386313e-06,0.00012913847404829297,0.158258976428641
6,0.1,400,26,uniform,300,0.00038420476763955345,3.221700495894753e-05,-0.000575707010682788,1.0
6,0.1,400,27,tis,300,0.0006661394488323064,5.912180005782126e-05,-0.0007953636151677131,0.17630321787589856
6,0.1,400,27,uniform,300,0.0037783737407516187,0.0003087293807406996,0.006671873204902736,1.0
6,0.1,400,28,tis,300,7.267263206357207e-05,6.421012936989391e-06,-0.00026943640251438804,0.07937806489654727
6,0.1,400,28,uniform,300,0.0009155253678492373,7.52096115910462e-05,0.004150371336080738,1.0
6,0.1,400,29,tis,300,0.00031520574522736185,2.807648978665396e-05,6.709698965410553e-05,0.09471081987000805
6,0.1,400,29,uniform,300,0.0033280859109865823,0.00025079909893209126,0.0028646407857317972,1.0
6,0.1,400,30,tis,300,0.0005889766328566557,6.310143102442292e-05,0.0004303389070943523,0.3977809845091232
6,0.1,400,30,uniform,300,0.0014806555762927561,0.0001026832838813834,0.0014671718629587765,1.0
6,0.1,400,31,tis,300,9.196727697124284e-05,9.191133885800923e-06,-0.0003590431796721305,0.0621864325050046
6,0.1,400,31,uniform,300,0.0014788961718272158,0.00013326559864112005,0.002749039252403537,1.0
6,0.1,400,32,tis,300,0.00022554556826032495,1.9896027363643683e-05,-0.0007922462790854949,0.13131991925818465
6,0.1,400,32,uniform,300,0.001717527466772849,0.00013733660369338752,-0.0006651727397514428,1.0
6,0.1,400,33,tis,300,0.0006008435077293299,6.144401937424421e-05,-0.0010705328514918906,0.12032990397100561
6,0.1,400,33,uniform,300,0.0049933016473952116,0.0004000791362568935,0.004578373866160101,1.0
6,0.1,400,34,tis,300,0.0004093048793716598,3.2863273366546556e-05,-0.0007730055868426063,0.11442621010423665
6,0.1,400,34,uniform,300,0.003577020326014496,0.00031251923049597445,0.006240632136339257,1.0
6,0.1,400,35,tis,300,0.00031510151213136334,2.5848633508100173e-05,-0.0017528397273717134,0.12431301108215774
6,0.1,400,35,uniform,300,0.0025347428188600032,0.00021060354148573197,0.001034253792886018,1.0
6,0.1,400,36,tis,300,0.0013408776634364259,0.00012725074994027354,-0.002097893884042761,0.04577929184643492
6,0.1,400,36,uniform,300,0.029290048171438616,0.002688342999453936,0.017150272840917132,1.0
6,0.1,400,37,tis,300,0.00019242667246827835,1.7605918903444294e-05,-0.00042889037985614385,0.1724842090824547
6,0.1,400,37,uniform,300,0.0011156190673448274,8.138337863004141e-05,0.0009866704739627636,1.0
6,0.1,400,38,tis,300,0.0002350000866300865,2.0194298087227377e-05,-0.0013823513878751122,0.1603477441376034
6,0.1,400,38,uniform,300,0.0014655652805967744,0.00012200318115094039,-0.0013882407297339412,1.0
6,0.1,400,39,tis,300,0.0002916397491881603,2.4517717250088108e-05,-0.001550601208594243,0.16652793146665082
6,0.1,400,39,uniform,300,0.001751296293778588,0.00013165476475766668,0.0025810258904341416,1.0
6,0.1,400,40,tis,300,0.0001942045120368615,1.7092219463036812e-05,-0.002453164402234093,0.16527742580829188
6,0.1,400,40,uniform,300,0.0011750213986399004,0.00010769581857848285,0.00019737734942636346,1.0
6,0.1,400,41,tis,300,0.0005050728317925199,4.026560808854629e-05,-0.0008602274833169887,0.13289869176863456
6,0.1,400,41,uniform,300,0.0038004349408631444,0.00029961730374066344,0.002350476249402847,1.0
6,0.1,400,42,tis,300,0.00020366348667016077,1.8939112329556002e-05,-0.00035906748654513374,0.03900958776922441
6,0.1,400,42,uniform,300,0.005220857187084549,0.000508573333497331,0.011522718457502168,1.0
6,0.1,400,43,tis,300,0.00021979641376033268,1.8968737782937403e-05,0.0019370866264826528,0.1462472695598887
6,0.1,400,43,uniform,300,0.0015029095204428782,0.00013515731580243326,0.008016447845890107,1.0
6,0.1,400,44,tis,300,0.0003073728506168598,2.5422184673455762e-05,-0.0008137553119883445,0.10064198085583409
6,0.1,400,44,uniform,300,0.0030541216299901732,0.00024418603690855523,-0.00040605351679991983,1.0
6,0.1,400,45,tis,300,0.0002681296034347386,2.5263041999000887e-05,0.0004936397718002972,0.09715814838040365
6,0.1,400,45,uniform,300,0.002759723274932431,0.00021567793485321998,0.0008478368072141078,1.0
6,0.1,400,46,tis,300,0.00011142072305862724,2.267687245660554e-05,0.00028590628146509217,0.11503066494655473
6,0.1,400,46,uniform,300,0.0009686175691533668,8.311106116837468e-05,0.004760449575540139,1.0
6,0.1,400,47,tis,300,0.0012642517033237541,0.00024378360298908967,-0.0021331961685607448,0.1790826126081939
6,0.1,400,47,uniform,300,0.007059600510127406,0.0006184192933154121,-0.004341670245586364,1.0
6,0.1,400,48,tis,300,0.015359306359519083,0.0026890479009153783,0.004717742080908061,0.6839851242176914
6,0.1,400,48,uniform,300,0.022455614626248344,0.0019228573692724332,0.0077517437971893815,1.0
