horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.00019852685735271826,1.5372730844150858e-05,-0.0004232726259876503,0.057415143274563686
6,0.1,400,0,uniform,300,0.003457743829068707,0.0002587721777681882,0.005249654376906949,1.0
6,0.1,400,1,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,1,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,2,tis,300,0.017564534850919328,0.001422354863473838,0.0032220214559923505,0.7376909501932772
6,0.1,400,2,uniform,300,0.023810153623705654,0.0018283553717387702,0.020621890826724276,1.0
6,0.1,400,3,tis,300,0.04263262950401312,0.004046119695506331,0.0004281853806705893,1.6697540660412942
6,0.1,400,3,uniform,300,0.025532280693939504,0.002274414138306322,0.015215479965277584,1.0
6,0.1,400,4,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,4,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,5,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,5,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,6,tis,300,0.05218899594645631,0.006802968161516042,0.03429048701014739,0.30435781541625206
6,0.1,400,6,uniform,300,0.17147250145385795,0.015323605220584978,0.10185117128814919,1.0
6,0.1,400,7,tis,300,0.00029341576503540086,2.39934632826745e-05,0.0008211358132460233,0.04509893777846352
6,0.1,400,7,uniform,300,0.006506046028771839,0.0005767276322245505,0.017688518587404528,1.0
6,0.1,400,8,tis,300,5.158574798917975e-05,2.830766489826443e-05,0.0012545732559055057,1.3978844179504766
6,0.1,400,8,uniform,300,3.690272766958284e-05,1.748491442361146e-05,0.001146761740776608,1.0
6,0.1,400,9,tis,300,0.00021414242457967156,2.052294769402494e-05,-0.0002688766660535406,0.08508624299991734
6,0.1,400,9,uniform,300,0.002516769069000727,0.00020694508899189867,-0.0013971509497078026,1.0
6,0.1,400,10,tis,300,0.00031756103895370154,4.899765195093729e-05,0.002089545882044001,0.22713477760550535
6,0.1,400,10,uniform,300,0.0013981171985262921,0.00011846050907447097,-0.0017428256035969022,1.0
6,0.1,400,11,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,11,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,12,tis,300,0.0002590706458058413,2.073751524554394e-05,0.00014857202569199757,0.1768358796314622
6,0.1,400,12,uniform,300,0.0014650343942969144,0.00011417439217755441,-0.002032920184639684,1.0
6,0.1,400,13,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,13,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,14,tis,300,0.00014639741660911018,2.3619626749807888e-05,0.0011693455559277958,0.1985140849203315
6,0.1,400,14,uniform,300,0.0007374661433613791,6.939516047269857e-05,0.002048261556144723,1.0
6,0.1,400,15,tis,300,0.000481407310828136,6.611472211350656e-05,-0.0006484689932982244,0.22868497221133624
6,0.1,400,15,uniform,300,0.0021051112636437243,0.00016459804346731225,0.0019031703625753311,1.0
6,0.1,400,16,tis,300,0.005873243616606034,0.0006668191173964789,0.01206031536792503,0.27396097827155835
6,0.1,400,16,uniform,300,0.0214382488106912,0.0019647832992940044,0.020500685162699265,1.0
6,0.1,400,17,tis,300,0.008043374400398364,0.0014274616915114183,0.002914063270583309,1.219107396707072
6,0.1,400,17,uniform,300,0.00659775703282935,0.0007135453648660458,0.006308874839736286,1.0
6,0.1,400,18,tis,300,0.018357948695537116,0.001898511849622051,-0.006457618353073154,0.5490205964540235
6,0.1,400,18,uniform,300,0.03343763205625832,0.0025207585887995682,-0.004581683081383504,1.0
6,0.1,400,19,tis,300,0.0005923614572220186,4.990244399836036e-05,-0.0034296546246157687,0.08098857344847689
6,0.1,400,19,uniform,300,0.007314136204644543,0.0005306847774210236,0.002867779533793109,1.0
6,0.1,400,20,tis,300,0.000892754663022647,7.810487632970925e-05,0.0017737257969496004,0.11200970370116209
6,0.1,400,20,uniform,300,0.007970333225811263,0.0006171171550366427,0.006209554132183085,1.0
6,0.1,400,21,tis,300,0.00028375166922759603,2.2083423214619798e-05,-0.0019269438967812024,0.087044637176718
6,0.1,400,21,uniform,300,0.0032598409095729065,0.00029817901964563053,0.0031673897215045168,1.0
6,0.1,400,22,tis,300,0.000263251903264194,6.586175670017334e-05,0.00487979397651557,0.648971167089028
6,0.1,400,22,uniform,300,0.0004056449910479308,7.949266296091525e-05,0.008162060849657801,1.0
6,0.1,400,23,tis,300,0.00017733790936883746,1.7887562558100902e-05,-0.00013142643837156095,0.08581884575970522
6,0.1,400,23,uniform,300,0.002066421516147954,0.00016846108081407872,-0.004599383676679278,1.0
6,0.1,400,24,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,24,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,25,tis,300,0.005069540675271442,0.0009729171734214193,0.005117302814219172,1.4282683938205185
6,0.1,400,25,uniform,300,0.003549431393430736,0.00037994747694568146,-0.0027789171247434414,1.0
6,0.1,400,26,tis,300,0.0009895139222947243,0.0003104096800226015,0.002570768795296141,1.0949658814273344
6,0.1,400,26,uniform,300,0.0009036938402179719,0.00014985160140365214,-0.00021137562675812126,1.0
6,0.1,400,27,tis,300,0.00023637946307250492,3.0085910718692328e-05,-0.00036414755708878975,0.2818761333579869
6,0.1,400,27,uniform,300,0.0008385933929791051,6.033971651730542e-05,-7.858659484371532e-05,1.0
6,0.1,400,28,tis,300,0.000155052545012317,1.4076459209155985e-05,0.00032797769631274826,0.07367101072080974
6,0.1,400,28,uniform,300,0.002104661568984278,0.00017856887501460438,0.0016363463771736535,1.0
6,0.1,400,29,tis,300,0.00017671110108498595,2.306003412805146e-05,4.2871813387093116e-05,0.11138733736493327
6,0.1,400,29,uniform,300,0.001586455922777249,0.00012475961783442552,0.00020003551782879676,1.0
6,0.1,400,30,tis,300,0.00022032330436679433,2.3034824636030468e-05,0.0007905864645868099,0.11989133196551055
6,0.1,400,30,uniform,300,0.0018376916892555277,0.00014194113319400525,0.0046264661979603956,1.0
6,0.1,400,31,tis,300,0.00031743303995403167,3.581062460330148e-05,0.000549104167891055,0.4870645556118598
6,0.1,400,31,uniform,300,0.000651726832298988,4.4252032147555325e-05,0.0007717556429795658,1.0
6,0.1,400,32,tis,300,0.0001812797507883921,2.8706062751590378e-05,0.00013499415830193725,0.1173944145351893
6,0.1,400,32,uniform,300,0.0015441940019561408,0.00012120379706570944,0.00010631981721340407,1.0
6,0.1,400,33,tis,300,0.00024741327637963276,2.138123697574922e-05,-0.00041707812932614905,0.0618339846623116
6,0.1,400,33,uniform,300,0.0040012507317910805,0.0003664139027046154,0.002932349109202619,1.0
6,0.1,400,34,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,34,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,35,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,35,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,36,tis,300,0.00013938107733593456,2.0736428570474772e-05,-0.0008135396520211187,0.03164111945923284
6,0.1,400,36,uniform,300,0.004405061505978523,0.00044090458020657597,-3.249689798451971e-05,1.0
6,0.1,400,37,tis,300,0.0153847653799517,0.0025004793933330154,0.007394720839977012,0.6481861425675792
6,0.1,400,37,uniform,300,0.0237351038067706,0.0018037608669634465,0.015086960877924343,1.0
6,0.1,400,38,tis,300,0.0009462489904505574,0.00017387541630819737,-0.0050592201802937145,0.09908191389519198
6,0.1,400,38,uniform,300,0.009550168676106637,0.0008567524257779831,-0.004217937832412629,1.0
6,0.1,400,39,tis,300,0.00019440595435389976,1.6655255433677023e-05,-0.0017283335413957228,0.07946081563351441
6,0.1,400,39,uniform,300,0.002446563791272042,0.00019483278339573864,-0.0028332243972436187,1.0
6,0.1,400,40,tis,300,0.0004340872550576166,3.724660588628254e-05,0.0019957863921888697,0.21849428078504138
6,0.1,400,40,uniform,300,0.0019867213617581116,0.00015561523319265397,0.0030206563422793724,1.0
6,0.1,400,41,tis,300,0.0033511985860373533,0.00042319841017384683,0.0014390136418223746,0.46798963745517613
6,0.1,400,41,uniform,300,0.007160839296058836,0.0007678790153101488,0.011458878831683015,1.0
