horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.00019567917775530725,1.6717874402167232e-05,-0.0005305998378546262,0.05659157746454878
6,0.1,400,0,uniform,300,0.003457743829068707,0.0002587721777681882,0.005249654376906949,1.0
6,0.1,400,1,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,1,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,2,tis,300,0.02644812529861418,0.0020338746190011786,0.013193095587962625,1.1107918796576823
6,0.1,400,2,uniform,300,0.023810153623705654,0.0018283553717387702,0.020621890826724276,1.0
6,0.1,400,3,tis,300,0.07254742007254829,0.007610152776536936,-0.0009845346175458047,2.841399910262172
6,0.1,400,3,uniform,300,0.025532280693939504,0.002274414138306322,0.015215479965277584,1.0
6,0.1,400,4,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,4,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,5,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,5,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,6,tis,300,0.0722548021611531,0.012378892251699481,0.04199852733058609,0.4213783641606019
6,0.1,400,6,uniform,300,0.17147250145385795,0.015323605220584978,0.10185117128814919,1.0
6,0.1,400,7,tis,300,0.00034123929574667717,3.270522783058428e-05,0.0007236615676822884,0.05244956679334986
6,0.1,400,7,uniform,300,0.006506046028771839,0.0005767276322245505,0.017688518587404528,1.0
6,0.1,400,8,tis,300,5.158574798917975e-05,2.830766489826443e-05,0.0012545732559055057,1.3978844179504766
6,0.1,400,8,uniform,300,3.690272766958284e-05,1.748491442361146e-05,0.001146761740776608,1.0
6,0.1,400,9,tis,300,0.00022355812391621497,2.1737863388927263e-05,-0.0004961255652418801,0.08882742825704618
6,0.1,400,9,uniform,300,0.002516769069000727,0.00020694508899189867,-0.0013971509497078026,1.0
6,0.1,400,10,tis,300,0.00033542190433914645,5.10537327919115e-05,0.0017621786127605342,0.23990971907984773
6,0.1,400,10,uniform,300,0.0013981171985262921,0.00011846050907447097,-0.0017428256035969022,1.0
6,0.1,400,11,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,11,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,12,tis,300,0.00022704057163352553,1.9631502786460583e-05,0.001099145466306893,0.15497286105865435
6,0.1,400,12,uniform,300,0.0014650343942969144,0.00011417439217755441,-0.002032920184639684,1.0
6,0.1,400,13,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,13,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,14,tis,300,0.00017203490983642883,5.8652611992159566e-05,0.0013282668803923502,0.23327838353675703
6,0.1,400,14,uniform,300,0.0007374661433613791,6.939516047269857e-05,0.002048261556144723,1.0
6,0.1,400,15,tis,300,0.0005130787185837844,6.545650225090584e-05,-0.0010856663405884519,0.24372997638884872
6,0.1,400,15,uniform,300,0.0021051112636437243,0.00016459804346731225,0.0019031703625753311,1.0
6,0.1,400,16,tis,300,0.008069970677001784,0.0009041096961868157,0.01776814726661944,0.37642863222005846
6,0.1,400,16,uniform,300,0.0214382488106912,0.0019647832992940044,0.020500685162699265,1.0
6,0.1,400,17,tis,300,0.010550895192263984,0.0025225086346834778,0.004807922410917888,1.5991639491670384
6,0.1,400,17,uniform,300,0.00659775703282935,0.0007135453648660458,0.006308874839736286,1.0
6,0.1,400,18,tis,300,0.02601402937872619,0.0026594075146713306,-0.010829415298506163,0.777986591124574
6,0.1,400,18,uniform,300,0.03343763205625832,0.0025207585887995682,-0.004581683081383504,1.0
6,0.1,400,19,tis,300,0.0005274073142458894,4.090141557456706e-05,-0.0028500660562035553,0.07210794268651724
6,0.1,400,19,uniform,300,0.007314136204644543,0.0005306847774210236,0.002867779533793109,1.0
6,0.1,400,20,tis,300,0.0008706451516116264,7.522481312063209e-05,0.0013711144634198683,0.1092357279106116
6,0.1,400,20,uniform,300,0.007970333225811263,0.0006171171550366427,0.006209554132183085,1.0
6,0.1,400,21,tis,300,0.00030153655522117815,2.615633837135461e-05,-0.001994386569858376,0.09250038992261266
6,0.1,400,21,uniform,300,0.0032598409095729065,0.00029817901964563053,0.0031673897215045168,1.0
6,0.1,400,22,tis,300,0.0002927867237576096,7.246115215178798e-05,0.0051241860274130096,0.7217806954826025
6,0.1,400,22,uniform,300,0.0004056449910479308,7.949266296091525e-05,0.008162060849657801,1.0
6,0.1,400,23,tis,300,0.0001685222990124064,1.9322928273258186e-05,-5.8985792006928104e-05,0.08155272179247884
6,0.1,400,23,uniform,300,0.002066421516147954,0.00016846108081407872,-0.004599383676679278,1.0
6,0.1,400,24,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,24,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,25,tis,300,0.006789918290872241,0.0015224504099837543,0.007931335947816138,1.9129594400497434
6,0.1,400,25,uniform,300,0.003549431393430736,0.00037994747694568146,-0.0027789171247434414,1.0
6,0.1,400,26,tis,300,0.002140211093223085,0.0008117076206211972,0.0010234783719611092,2.368292222404508
6,0.1,400,26,uniform,300,0.0009036938402179719,0.00014985160140365214,-0.00021137562675812126,1.0
6,0.1,400,27,tis,300,0.00026164664753260423,3.096698229880475e-05,-0.0007967139674549736,0.31200656924222103
6,0.1,400,27,uniform,300,0.0008385933929791051,6.033971651730542e-05,-7.858659484371532e-05,1.0
6,0.1,400,28,tis,300,0.0001541601851061707,2.0337165059961432e-05,0.00023463700805081275,0.07324701860763738
6,0.1,400,28,uniform,300,0.002104661568984278,0.00017856887501460438,0.0016363463771736535,1.0
6,0.1,400,29,tis,300,0.00019116044533521654,3.0008354190293202e-05,0.00032672143917170625,0.12049527666710788
6,0.1,400,29,uniform,300,0.001586455922777249,0.00012475961783442552,0.00020003551782879676,1.0
6,0.1,400,30,tis,300,0.0002723567773208382,3.3946372822620625e-05,0.0004663709821339105,0.14820591447043732
6,0.1,400,30,uniform,300,0.0018376916892555277,0.00014194113319400525,0.0046264661979603956,1.0
6,0.1,400,31,tis,300,0.0003769822964542925,5.065674682778739e-05,0.0008267021767991905,0.5784360529157208
6,0.1,400,31,uniform,300,0.000651726832298988,4.4252032147555325e-05,0.0007717556429795658,1.0
6,0.1,400,32,tis,300,0.0001729203564124812,2.8969237002598323e-05,-0.00036202729250418787,0.11198097919913601
6,0.1,400,32,uniform,300,0.0015441940019561408,0.00012120379706570944,0.00010631981721340407,1.0
6,0.1,400,33,tis,300,0.0002432752619992927,2.0801918638470306e-05,-0.0006763619830731023,0.06079980443774773
6,0.1,400,33,uniform,300,0.0040012507317910805,0.0003664139027046154,0.002932349109202619,1.0
6,0.1,400,34,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,34,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,35,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,35,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,36,tis,300,0.00023713188397780463,5.5502126789198415e-05,-0.0016628750549215014,0.053831685132198645
6,0.1,400,36,uniform,300,0.004405061505978523,0.00044090458020657597,-3.249689798451971e-05,1.0
6,0.1,400,37,tis,300,0.017660298789150125,0.002754611129082046,0.005863489672839618,0.7440582073254891
6,0.1,400,37,uniform,300,0.0237351038067706,0.0018037608669634465,0.015086960877924343,1.0
6,0.1,400,38,tis,300,0.0009546391741198625,0.00021386420791125605,-0.004644574024688175,0.0999604516418913
6,0.1,400,38,uniform,300,0.009550168676106637,0.0008567524257779831,-0.004217937832412629,1.0
6,0.1,400,39,tis,300,0.00020218918138633046,1.7042966525249382e-05,-0.002293823238490383,0.08264210486055065
6,0.1,400,39,uniform,300,0.002446563791272042,0.00019483278339573864,-0.0028332243972436187,1.0
6,0.1,400,40,tis,300,0.0004454219667657062,3.874988769663108e-05,0.0014090237642247654,0.22419951551310568
6,0.1,400,40,uniform,300,0.0019867213617581116,0.00015561523319265397,0.0030206563422793724,1.0
6,0.1,400,41,tis,300,0.005435511927060206,0.0005905319730597329,0.00442090307413405,0.7590607332930637
6,0.1,400,41,uniform,300,0.007160839296058836,0.0007678790153101488,0.011458878831683015,1.0
6,0.1,400,42,tis,300,0.0027022958118520617,0.0006334602198199331,0.004105821598587273,0.5757814403337613
6,0.1,400,42,uniform,300,0.004693266615689507,0.0004270677670691177,0.008661655082510326,1.0
6,0.1,400,43,tis,300,0.00019483236328057894,1.7905913593008715e-05,0.0005556510540880359,0.1051080994710099
6,0.1,400,43,uniform,300,0.0018536379618805314,0.00014279286905287313,0.00563450370538853,1.0
6,0.1,400,44,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,44,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,45,tis,300,0.00020995183963078517,1.881598849076593e-05,0.0009183044488913806,0.04621110329698999
6,0.1,400,45,uniform,300,0.0045433202120595245,0.0003425898517479808,0.004670471203182584,1.0
6,0.1,400,46,tis,300,0.1552411711129799,0.014253867964606143,0.02207835449454295,1.848198645945688
6,0.1,400,46,uniform,300,0.08399593379939196,0.006269024750153489,0.01762554553965273,1.0
6,0.1,400,47,tis,300,0.009203722262123924,0.0028358145146841845,-0.0016544185765210292,0.24164939103783523
6,0.1,400,47,uniform,300,0.03808709065061493,0.0030337802289923306,0.010630371183702195,1.0
6,0.1,400,48,tis,300,0.00658625718804652,0.0013839573540345314,-0.005433528397517653,0.6260085064116374
6,0.1,400,48,uniform,300,0.010521034651429591,0.000920530979516614,-0.0012032244787546912,1.0
6,0.1,400,49,tis,300,0.0011741819138978995,0.00021731853321179978,0.0039621635679721,0.24774041728401672
6,0.1,400,49,uniform,300,0.004739565415972411,0.0004086254076378355,0.00318114338021422,1.0
