horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,1.2665642130094465e-05,2.2456594627425744e-06,0.00011043529740326481,0.04242515888553269
6,0.1,400,0,uniform,300,0.00029854082961168466,2.709097996577803e-05,-0.0006320092754465426,1.0
6,0.1,400,1,tis,300,1.306765400366025e-05,1.0168993951757826e-06,0.00019554106544302562,0.05916305908749515
6,0.1,400,1,uniform,300,0.00022087522527080184,1.586185159360931e-05,-0.0006332655096185184,1.0
6,0.1,400,2,tis,300,0.0006414331381570833,0.00013107631653209886,-0.00017062216042330528,0.27352551531159064
6,0.1,400,2,uniform,300,0.002345057781634687,0.00019335829942529454,0.003297574783635972,1.0
6,0.1,400,3,tis,300,3.1363394243113915e-05,1.550465907433607e-05,-0.0003693683059148463,0.12489958650010005
6,0.1,400,3,uniform,300,0.00025110887171022613,1.902607875785444e-05,-0.00016548709561237847,1.0
6,0.1,400,4,tis,300,1.3113906653592609e-05,1.0088645131808882e-06,0.0002557653294560436,0.15380764654849186
6,0.1,400,4,uniform,300,8.526173404166944e-05,6.975464161219242e-06,0.0006522043842973124,1.0
6,0.1,400,5,tis,300,0.003983672528386681,0.0010463293163245446,-0.0005733759160260569,1.0912600428096562
6,0.1,400,5,uniform,300,0.003650525422089093,0.00031361348678284214,-0.0009644425110422021,1.0
6,0.1,400,6,tis,300,1.419914541096794e-06,4.505563547815219e-07,4.809472927891652e-05,0.05996394739155041
6,0.1,400,6,uniform,300,2.367947079642852e-05,1.93510799822556e-06,5.8793319811396574e-05,1.0
6,0.1,400,7,tis,300,6.182302586391723e-06,5.485408184099564e-07,4.250780089516774e-05,0.13676250140092563
6,0.1,400,7,uniform,300,4.520466153414389e-05,4.0485012717203595e-06,-0.00027037697163752485,1.0
6,0.1,400,8,tis,300,0.00021712652173086022,2.314074490501869e-05,-0.0005844947109719101,0.21300074372630648
6,0.1,400,8,uniform,300,0.0010193697821536958,0.000103530063703654,0.0011756517166867653,1.0
6,0.1,400,9,tis,300,0.00010429473379048942,1.2212582196825525e-05,0.0002619170482849646,0.10733956912608747
6,0.1,400,9,uniform,300,0.000971633616937465,8.846812652972327e-05,0.002100389614098748,1.0
6,0.1,400,10,tis,300,3.1014201775148474e-05,8.836534991761527e-06,0.00025109123727901084,0.25522816602484477
6,0.1,400,10,uniform,300,0.00012151559233524974,9.486116389267522e-06,0.0004454246760986306,1.0
6,0.1,400,11,tis,300,3.9727081462213366e-05,6.91302373765288e-06,0.00046322704605992283,0.1086815440608762
6,0.1,400,11,uniform,300,0.0003655365941429843,2.9035023861965757e-05,0.000868560651144128,1.0
6,0.1,400,12,tis,300,7.777867985751999e-06,1.4169983910212617e-06,-6.0226413955118595e-06,0.4722560907065181
6,0.1,400,12,uniform,300,1.6469598039732913e-05,1.736179574003238e-06,-0.00041990648957773344,1.0
6,0.1,400,13,tis,300,0.00030240405318493225,2.5996473063129373e-05,-0.0010783671410988867,0.9972726171422106
6,0.1,400,13,uniform,300,0.00030323108043566144,2.3195468928570105e-05,-0.001184183652792794,1.0
6,0.1,400,14,tis,300,0.00026183202354628106,6.937223388873916e-05,-0.000549615865077051,1.2094050604774287
