horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,100,0,complete_rollout,300,1.781823384017461e-05,1.3805406269646512e-06,0.00020763534507636016,0.026249874279565797
6,0.1,100,0,learned_mean,300,0.00018202223049350658,6.074841746442728e-05,0.0010408332780598576,0.26815568307155363
6,0.1,100,0,learned_occupancy,300,1.962805829008592e-05,1.54694924744994e-06,0.00019946636658354204,0.02891611295980699
6,0.1,100,0,occ_plus_mean,300,2.0959763363381066e-05,1.5897556366901013e-06,-5.804826938250092e-06,0.030877984774096468
6,0.1,100,0,occ_plus_uniform,300,3.120084473393589e-05,2.4529985829381493e-06,0.00012592800040662174,0.04596517584337885
6,0.1,100,0,oracle_tail,300,1.226153274311725e-05,9.832199695253003e-07,0.0002121761281414436,0.018063725948859428
6,0.1,100,0,tis,300,0.0001862056990324925,6.448343765762433e-05,0.001272523524159806,0.27431878117577196
6,0.1,100,0,tis_anchored,300,1.938019739902959e-05,1.583583543624173e-06,6.350934843149858e-05,0.028550963569165363
6,0.1,100,0,uniform,300,0.000678793111555784,5.892499805889616e-05,0.000136605761396759,1.0
6,0.1,100,1,complete_rollout,300,3.884660782667962e-05,3.228779990480624e-06,-0.00014974028949076216,0.16448979333861255
6,0.1,100,1,learned_mean,300,5.53312447092248e-05,5.977023687547895e-06,-0.00010371361132077705,0.234291371025137
6,0.1,100,1,learned_occupancy,300,2.573777349914591e-05,2.005202692551818e-06,-1.7785359479501515e-05,0.10898251561009961
6,0.1,100,1,occ_plus_mean,300,2.4069020394230866e-05,1.873150612877733e-06,-8.151688825520124e-05,0.10191644552785878
6,0.1,100,1,occ_plus_uniform,300,4.4040107878133955e-05,3.6511501190114602e-06,-0.000394482113090812,0.1864808447575497
6,0.1,100,1,oracle_tail,300,1.3757034416255326e-05,1.0796491481667107e-06,0.00014364664086944886,0.058251978092354266
6,0.1,100,1,tis,300,3.60938259899526e-05,4.141453081874088e-06,5.682114017609319e-05,0.152833575697943
6,0.1,100,1,tis_anchored,300,2.0823354601855082e-05,1.6136120760354717e-06,-9.454988001732723e-05,0.08817318902999201
6,0.1,100,1,uniform,300,0.00023616424483379004,1.8213205556267073e-05,-0.00014286720629076211,1.0
6,0.1,100,2,complete_rollout,300,0.0009248000822577625,8.121195085645983e-05,2.8327356268963802e-05,0.08946811341815904
6,0.1,100,2,learned_mean,300,0.0037888699198564057,0.0008289696511141761,0.0034962579185279126,0.3665473762597286
6,0.1,100,2,learned_occupancy,300,0.0012076370477043228,0.00010987385074942364,-0.00421288503275344,0.11683066472940312
6,0.1,100,2,occ_plus_mean,300,0.0007150207289910652,5.9037719557410743e-05,-0.0031353762654295282,0.06917338882748615
6,0.1,100,2,occ_plus_uniform,300,0.0019984727831761093,0.00014557851659033908,-0.003613502868771188,0.1933386394081966
6,0.1,100,2,oracle_tail,300,0.00026290083429968245,2.1538116267502465e-05,-0.002088552588085785,0.025433866315657104
6,0.1,100,2,tis,300,0.0036010785517501796,0.0008597700119238272,0.004872527178230385,0.3483798395747609
6,0.1,100,2,tis_anchored,300,0.0009124601161357789,8.779432478854767e-05,-0.003130791177403577,0.088274305686349
6,0.1,100,2,uniform,300,0.010336644497413299,0.0008625928733518849,0.0006447486945718272,1.0
6,0.1,100,3,complete_rollout,300,3.1084270046415516e-05,2.404584540800299e-06,0.00010952434289181134,0.062257016099323485
6,0.1,100,3,learned_mean,300,0.000481271846143932,5.537083859484309e-05,0.005560292183425449,0.9639135494831748
6,0.1,100,3,learned_occupancy,300,2.6278948026674912e-05,1.8677686175684132e-06,0.0001709015741204863,0.052632694540583114
