horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,100,0,complete_rollout,300,0.011528957214623544,0.0009346719425636824,0.00920361648557093,0.05320679892429331
6,0.1,100,0,learned_mean,300,0.4607769505344795,0.036234358538369274,0.29359528984857375,2.1265120599927245
6,0.1,100,0,learned_occupancy,300,0.025069916386675953,0.002217969062555946,0.003967200950615476,0.11569910230413401
6,0.1,100,0,occ_plus_mean,300,0.026098689929961952,0.0023742003316164118,0.005196157899088709,0.12044695122379351
6,0.1,100,0,occ_plus_uniform,300,0.019980823862005028,0.0015548153258441056,0.01104636247931024,0.09221264835807938
6,0.1,100,0,oracle_tail,300,0.006145486454442627,0.0005337448157188279,0.009835346307419723,0.028361772533837443
6,0.1,100,0,tis,300,0.24007663133647833,0.026321225280558556,0.10924309636347654,1.107967426033925
6,0.1,100,0,tis_anchored,300,0.02090294001475673,0.0018613601890744797,0.0025576673950454022,0.09646826730183523
6,0.1,100,0,uniform,300,0.21668203026135482,0.018200230859543264,0.09216875742358402,1.0
6,0.1,100,1,complete_rollout,300,0.007396616781928588,0.0006512033485870765,-0.000807820905902427,0.05532926713757858
6,0.1,100,1,learned_mean,300,0.026844891731088064,0.00919528917185091,-0.012228026334534998,0.2008091306687201
6,0.1,100,1,learned_occupancy,300,0.011944551048319851,0.0010681217332960595,-0.006538953043070892,0.08934939787682432
6,0.1,100,1,occ_plus_mean,300,0.011681685354172128,0.0009816427717861565,-0.008615816996865894,0.08738307102204679
6,0.1,100,1,occ_plus_uniform,300,0.014729164163024432,0.001166123207958865,0.0003729793653006216,0.11017927286436184
6,0.1,100,1,oracle_tail,300,0.004657848018296591,0.00041185580162728894,0.0037107382658305888,0.034842323847332886
6,0.1,100,1,tis,300,0.039280626958931135,0.009610557047293085,-0.004552044470803687,0.29383275711298773
6,0.1,100,1,tis_anchored,300,0.011820707297095981,0.0009906614347267705,-0.009526019908093214,0.08842300352697419
6,0.1,100,1,uniform,300,0.13368362106688644,0.010576552508687175,0.03207302594454165,1.0
6,0.1,100,2,complete_rollout,300,0.0043409327997323156,0.0003597971699063327,0.006402941316467094,0.02484010779265765
6,0.1,100,2,learned_mean,300,0.14831127019629892,0.020914900146930118,0.07781374296870613,0.8486811725740647
6,0.1,100,2,learned_occupancy,300,0.00582937949577334,0.0005178559636827494,-0.00019241845869151972,0.03335744221800608
6,0.1,100,2,occ_plus_mean,300,0.005820810193199555,0.0005550900187068869,0.0028935780735843005,0.0333084061215123
6,0.1,100,2,occ_plus_uniform,300,0.007157016196237332,0.000627992841799909,0.0008732781354531971,0.04095457404899124
6,0.1,100,2,oracle_tail,300,0.002069533684948392,0.00017123981409233847,0.001941347621080977,0.011842486900010087
6,0.1,100,2,tis,300,0.14354887990458537,0.020406635142530098,0.07586491257794727,0.8214293597369331
6,0.1,100,2,tis_anchored,300,0.005804989318389997,0.0005332965685812805,0.0029054531355229285,0.033217874373205156
6,0.1,100,2,uniform,300,0.17475499043588802,0.014859562214122869,0.06737177613275001,1.0
6,0.1,100,3,complete_rollout,300,2.6389038131498084e-06,3.5021511962758873e-07,0.00010614909243785424,0.04385145134629845
6,0.1,100,3,learned_mean,300,0.00012644447845765555,9.508488615571333e-05,-0.00022188209741811054,2.1011655928738437
6,0.1,100,3,learned_occupancy,300,3.788518678414761e-06,1.2141897494184274e-06,-5.033777602173902e-05,0.06295494427390735
6,0.1,100,3,occ_plus_mean,300,5.610431002336641e-06,1.676652626091237e-06,-2.878066868014321e-06,0.09323020449050484
6,0.1,100,3,occ_plus_uniform,300,4.8445538489046876e-06,1.354281322838953e-06,6.932451836925812e-05,0.08050339551641199
6,0.1,100,3,oracle_tail,300,4.313020519796982e-07,5.8071613829264424e-08,-2.0346567064101575e-05,0.007167074773131465
6,0.1,100,3,tis,300,6.494666141340802e-05,4.1630621597162834e-05,-0.0002130221235294242,1.07923803394531
6,0.1,100,3,tis_anchored,300,4.5107649125029655e-06,1.3213924016061368e-06,8.280164483679852e-05,0.07495672525445883
6,0.1,100,3,uniform,300,6.0178254815562936e-05,3.112452328198879e-05,-0.0003613526515986809,1.0
6,0.1,100,4,complete_rollout,300,0.006167921872605835,0.0005499996652428702,0.006709611261275276,0.07078974821300207
6,0.1,100,4,learned_mean,300,0.0150509279922796,0.0044305299863785464,0.013923747381666936,0.1727407423361807
6,0.1,100,4,learned_occupancy,300,0.007328871403431414,0.0005499320405243462,-0.005347115017789545,0.08411406176180919
6,0.1,100,4,occ_plus_mean,300,0.003190134254639322,0.00026726902632945586,-0.0032415189013481616,0.036613434040820965
6,0.1,100,4,occ_plus_uniform,300,0.013275349131672044,0.000995603222266926,-0.005381147927135058,0.15236227725980075
6,0.1,100,4,oracle_tail,300,0.0013802623659199208,0.0001102004589444176,-0.003707458919081994,0.015841385051473374
6,0.1,100,4,tis,300,0.02119389771571374,0.004765213081640912,0.0250463807510051,0.2432441126744755
6,0.1,100,4,tis_anchored,300,0.0035068761389449934,0.0003535520186071444,-0.002297191499768668,0.04024870677961741
6,0.1,100,4,uniform,300,0.08713015695502872,0.0068262581436074506,0.009317468936574966,1.0
6,0.1,100,5,complete_rollout,300,0.0007677407012710435,6.311740933617811e-05,0.0010778049399822283,0.08100238344206108
6,0.1,100,5,learned_mean,300,0.0005631030069444975,5.837469390166361e-05,0.00051798690276841,0.059411576864924674
6,0.1,100,5,learned_occupancy,300,0.0010881024789949293,8.523354660002009e-05,0.005437065995731101,0.11480294594501105
6,0.1,100,5,occ_plus_mean,300,0.0005364092945836027,4.0858235955817514e-05,0.0030163287179008082,0.05659519065462015
6,0.1,100,5,occ_plus_uniform,300,0.0019067774226224612,0.00014300127149922446,0.006568317192093427,0.2011792727286986
6,0.1,100,5,oracle_tail,300,0.0002580262136954549,2.8325823523937473e-05,0.003089555922122393,0.02722369449119987
6,0.1,100,5,tis,300,0.004319148055662966,0.001015438430045459,0.010936018406962745,0.45570240885839003
6,0.1,100,5,tis_anchored,300,0.00067910163079147,6.725670505870536e-05,0.0016552316172373652,0.07165029886057754
6,0.1,100,5,uniform,300,0.009478001370418793,0.0008727180056044533,0.026721514418072793,1.0
6,0.1,100,6,complete_rollout,300,0.003317641618132367,0.0002946597734864881,0.00010984968155094717,0.027450792569293274
6,0.1,100,6,learned_mean,300,0.077990862086163,0.023951514874695323,-0.0013120899340105917,0.6453111046493395
6,0.1,100,6,learned_occupancy,300,0.00815900256525271,0.000750689906131453,-0.0039036975507387873,0.0675091262922986
6,0.1,100,6,occ_plus_mean,300,0.007516703560910812,0.0006562999268505457,-0.0017910109792863204,0.062194623170777424
6,0.1,100,6,occ_plus_uniform,300,0.007649258919351514,0.0006149683244097025,-0.0017939287751077633,0.06329141121099752
6,0.1,100,6,oracle_tail,300,0.002218231267514062,0.00017887686477135239,-0.001446597534783578,0.01835406394182132
6,0.1,100,6,tis,300,0.07759307203258953,0.02381101605450487,0.004479674739222922,0.6420197147092409
6,0.1,100,6,tis_anchored,300,0.0072023868091718075,0.0006282399036966539,-0.0008695915300406372,0.059593907075981556
6,0.1,100,6,uniform,300,0.12085777158374339,0.013091130592412502,0.023859323263543855,1.0
6,0.1,100,7,complete_rollout,300,0.002514411897870337,0.00020865046094133128,-0.0022204377078950664,0.06662150297634654
6,0.1,100,7,learned_mean,300,0.0019814422723436033,0.00038348188559398174,0.002481815273133796,0.05250001495626296
6,0.1,100,7,learned_occupancy,300,0.0030893993676402256,0.00023205997036563684,0.001043353416847171,0.08185628987068218
6,0.1,100,7,occ_plus_mean,300,0.001572957753779242,0.00016467515201679957,-0.0015035880476314818,0.041676866771044485
6,0.1,100,7,occ_plus_uniform,300,0.0057713089405149135,0.00042411075930114,0.003854301327988899,0.15291578761760904
6,0.1,100,7,oracle_tail,300,0.0007700994849707464,7.313209593514491e-05,-0.0008796488308619876,0.02040444732763002
6,0.1,100,7,tis,300,0.015651760392626533,0.0018080667813537542,0.010881131577760984,0.4147068356086039
6,0.1,100,7,tis_anchored,300,0.0030729176778393165,0.0002901324186932287,-0.0006904160098293887,0.08141959334253716
6,0.1,100,7,uniform,300,0.03774174681653549,0.0029990839422099984,-0.0043156345732024495,1.0
6,0.1,100,8,complete_rollout,300,0.002065780983950145,0.000142848021622246,-0.0018264805388454415,0.03856835882066234
6,0.1,100,8,learned_mean,300,0.0055760328593630806,0.002156676434882746,0.006418588428993287,0.1041051485063478
6,0.1,100,8,learned_occupancy,300,0.002742327882939984,0.00022956547992710263,0.006389781484458849,0.05119956404618021
6,0.1,100,8,occ_plus_mean,300,0.0016053075476319945,0.00018269240797575686,0.003920129148069516,0.029971268975570398
6,0.1,100,8,occ_plus_uniform,300,0.004327576117441189,0.0003439816728914831,0.009106511885223602,0.08079632343310829
6,0.1,100,8,oracle_tail,300,0.0006301715682489308,5.4355034845739376e-05,0.0025842801484901924,0.011765372685505772
6,0.1,100,8,tis,300,0.014958544264296828,0.00427871291670167,0.017834644649212982,0.2792776713032634
6,0.1,100,8,tis_anchored,300,0.001897729428880293,0.0002030711065855492,0.003587490249732627,0.03543081775185523
6,0.1,100,8,uniform,300,0.053561547525414484,0.010316727595146841,0.07466563877603932,1.0
6,0.1,100,9,complete_rollout,300,0.00966849235079528,0.00076309532400279,-0.0008427218574817571,0.07224861897833881
6,0.1,100,9,learned_mean,300,0.03533002440151033,0.01107671868748951,0.020164341227219513,0.26400656678082535
6,0.1,100,9,learned_occupancy,300,0.014440186354285546,0.0011765120395565507,-0.0065733953009868,0.10790550212321043
6,0.1,100,9,occ_plus_mean,300,0.008492630893142578,0.0009121610036972539,-0.00441274474376199,0.06346189573929356
6,0.1,100,9,occ_plus_uniform,300,0.023876781500526613,0.0019250955187400662,0.0076859121146570075,0.1784212498155104
6,0.1,100,9,oracle_tail,300,0.0036085659162092246,0.00030689317218704574,-0.0035500481790163214,0.02696531108254695
6,0.1,100,9,tis,300,0.08029903990210327,0.018235339068040996,0.04773276187157043,0.6000413019653765
6,0.1,100,9,tis_anchored,300,0.011223871149708204,0.0011331392319981846,-0.002473330093523495,0.08387131734044724
6,0.1,100,9,uniform,300,0.1338225212816045,0.013008279923591591,0.06976173089874807,1.0
6,0.1,100,10,complete_rollout,300,0.0048202328522008835,0.0004538719020073784,-0.005069370188006817,0.08329522201382411
6,0.1,100,10,learned_mean,300,0.0023777591301828126,0.0003200682463158269,0.007416802928699758,0.041088466204188406
6,0.1,100,10,learned_occupancy,300,0.0061675382090056186,0.0005428836917336959,0.007655383424796051,0.10657710532869845
6,0.1,100,10,occ_plus_mean,300,0.002495297559110239,0.00021172725035700202,0.0035489755631142768,0.04311956923029966
6,0.1,100,10,occ_plus_uniform,300,0.01136599868306485,0.0009735696300972926,0.010326826348424571,0.19640822606369474
6,0.1,100,10,oracle_tail,300,0.0011424743339929267,9.992117600451075e-05,0.0039035195276428247,0.019742335321329154
6,0.1,100,10,tis,300,0.020115009040898846,0.0032863123094165627,0.03428388475018247,0.3475940261074182
6,0.1,100,10,tis_anchored,300,0.0033084316203635146,0.00036877492092743624,0.008799163390781968,0.05717079543364975
6,0.1,100,10,uniform,300,0.057869259912662126,0.004706425935605105,0.04819994717487947,1.0
6,0.1,100,11,complete_rollout,300,0.0004937152975368983,9.58414521576293e-05,0.010468191146291363,0.014864133755457665
6,0.1,100,11,learned_mean,300,0.00012590144592929833,2.1990285174676535e-05,0.005098884952422297,0.003790475890933376
6,0.1,100,11,learned_occupancy,300,0.0009055664463212147,0.00015527810619391256,0.013426014489318868,0.02726360890522544
6,0.1,100,11,occ_plus_mean,300,0.0003206335687526911,5.322468759937963e-05,0.008147302998741814,0.00965321568160149
6,0.1,100,11,occ_plus_uniform,300,0.0026329838592471307,0.0006229828027798686,0.022235197577079587,0.07927043066127706
6,0.1,100,11,oracle_tail,300,0.03321520820919825,0.006058785854069814,0.08637128462767639,1.0
6,0.1,100,11,tis,300,0.017917332018084643,0.005321634279658713,0.04454726033474578,0.5394315731888989
6,0.1,100,11,tis_anchored,300,0.00117912873027407,0.00040479181615540535,0.012903874153902055,0.03549966397463482
6,0.1,100,11,uniform,300,0.03321520820919825,0.006058785854069814,0.08637128462767639,1.0
6,0.1,100,12,complete_rollout,300,0.027524060121735132,0.002234581395777792,0.018527470920347927,0.09376511745390345
6,0.1,100,12,learned_mean,300,0.04246797171811695,0.011190276523258082,-0.02892194638503252,0.14467394485284452
6,0.1,100,12,learned_occupancy,300,0.04192475934984346,0.003553474944334372,-0.012026912311309614,0.14282340495108944
6,0.1,100,12,occ_plus_mean,300,0.03215400206234447,0.00270825926271908,-0.01642290542053363,0.10953775593623143
6,0.1,100,12,occ_plus_uniform,300,0.049133546518831686,0.0038637460996614748,0.016846502477047894,0.16738129258143233
6,0.1,100,12,oracle_tail,300,0.009119094785633716,0.0007118155398790451,-0.009651827808329197,0.031065656369970204
6,0.1,100,12,tis,300,0.07259796529595135,0.010528791325534595,0.011484302677591745,0.24731659183936405
6,0.1,100,12,tis_anchored,300,0.03361440746863976,0.0029612006333758017,-0.020695471570882425,0.11451286076618558
6,0.1,100,12,uniform,300,0.29354264004699226,0.021492241838425657,0.0822282612222908,1.0
6,0.1,100,13,complete_rollout,300,0.0003509552536224729,2.7413621399781e-05,-0.0008644383549449585,0.05366491350416325
6,0.1,100,13,learned_mean,300,0.001918774384203538,0.0007621927846378403,0.00143530044159866,0.2934016809819694
6,0.1,100,13,learned_occupancy,300,0.0004488792294456795,3.764215468854209e-05,0.0006972030290873418,0.06863856509733504
6,0.1,100,13,occ_plus_mean,300,0.00043967827590189697,3.731019760544682e-05,0.001438730911300672,0.06723163822849249
6,0.1,100,13,occ_plus_uniform,300,0.0006959060076363748,5.6947343206333696e-05,0.0023641650386238135,0.10641167305905871
6,0.1,100,13,oracle_tail,300,0.0001954111384851121,1.657553403283768e-05,0.0012830933797404749,0.029880509655610708
6,0.1,100,13,tis,300,0.005037685274071114,0.0013257537027838752,0.004179254219233332,0.770317417117337
6,0.1,100,13,tis_anchored,300,0.000675961211001626,9.249348771907636e-05,8.571755239768681e-06,0.10336189456104743
6,0.1,100,13,uniform,300,0.006539752525553708,0.0011021186569615312,-0.00031880690747371877,1.0
6,0.1,100,14,complete_rollout,300,0.0026069330634942377,0.000195046860827833,-0.004026309323044852,0.050205962119216074
6,0.1,100,14,learned_mean,300,0.1627559929435125,0.03984357946429164,0.031438785807203884,3.134457624103646
6,0.1,100,14,learned_occupancy,300,0.003820864516997656,0.0003664708185352303,-0.01150276667928165,0.07358462013823976
6,0.1,100,14,occ_plus_mean,300,0.005361228027788986,0.0005537598021754285,-0.011115759816066773,0.10324991272114736
6,0.1,100,14,occ_plus_uniform,300,0.005997772938135713,0.0005218494392432153,-0.006326300887549366,0.11550889631515332
6,0.1,100,14,oracle_tail,300,0.001863956587460113,0.00016170739330712762,-0.0046486347351298845,0.0358972522664054
6,0.1,100,14,tis,300,0.16361768043171418,0.03965741538719163,0.03289407529149017,3.1510525455448852
6,0.1,100,14,tis_anchored,300,0.005451333330658589,0.0005663356177753688,-0.009994326095973399,0.1049852175074345
6,0.1,100,14,uniform,300,0.051924770554221636,0.005510824985996324,0.004058158268843661,1.0
6,0.1,100,15,complete_rollout,300,0.0,0.0,0.0,0.0
6,0.1,100,15,learned_mean,300,0.0,0.0,0.0,0.0
6,0.1,100,15,learned_occupancy,300,0.0,0.0,0.0,0.0
6,0.1,100,15,occ_plus_mean,300,0.0,0.0,0.0,0.0
6,0.1,100,15,occ_plus_uniform,300,0.0,0.0,0.0,0.0
6,0.1,100,15,oracle_tail,300,0.0,0.0,0.0,0.0
6,0.1,100,15,tis,300,0.0,0.0,0.0,0.0
6,0.1,100,15,tis_anchored,300,0.0,0.0,0.0,0.0
6,0.1,100,15,uniform,300,0.0,0.0,0.0,0.0
6,0.1,100,16,complete_rollout,300,0.0016797415360418413,0.00013256369502957283,0.003561440495844052,0.12538693806514478
6,0.1,100,16,learned_mean,300,0.0016829185795837727,0.00023522202198000437,0.003058980159926056,0.1256240934567779
6,0.1,100,16,learned_occupancy,300,0.0014647610036302786,0.00013378054834743954,0.00044214453290150873,0.10933937948287667
6,0.1,100,16,occ_plus_mean,300,0.0011763604944806298,0.00010761254243455409,0.0010039879275135128,0.08781127173368396
6,0.1,100,16,occ_plus_uniform,300,0.0025985433418255614,0.0002218563184655869,0.0028689853930407563,0.19397233804722677
6,0.1,100,16,oracle_tail,300,0.0005733062581876191,4.752825474389255e-05,0.001823035420861372,0.04279534365573983
6,0.1,100,16,tis,300,0.0074591414195055985,0.0012374539850370726,0.015218031926048087,0.5567992950811972
6,0.1,100,16,tis_anchored,300,0.0013958960696291124,0.00014113954233872683,0.0030801319135481007,0.10419884861596035
6,0.1,100,16,uniform,300,0.013396463475080089,0.0011521029324556866,0.01556939488447212,1.0
6,0.1,100,17,complete_rollout,300,0.003908762288846735,0.0003647902029631834,-5.9663778294031614e-05,0.057343681103690244
6,0.1,100,17,learned_mean,300,0.05336816349419371,0.01003464759300995,0.03391232645133955,0.7829401540311076
6,0.1,100,17,learned_occupancy,300,0.005638331694906975,0.0005191417177743378,0.009261739535632826,0.08271741046830708
6,0.1,100,17,occ_plus_mean,300,0.0063711578091625925,0.0006574577327108002,0.008275013944941645,0.09346837046406813
6,0.1,100,17,occ_plus_uniform,300,0.00849237177526436,0.0006975068945732964,0.010460471992278253,0.12458773977744805
6,0.1,100,17,oracle_tail,300,0.0026682031293121223,0.00022011476942682782,0.0031038663119954853,0.039143999573401055
6,0.1,100,17,tis,300,0.059412580082988206,0.010034840540460561,0.04145704942903591,0.8716150520454231
6,0.1,100,17,tis_anchored,300,0.006870955465783669,0.0006309836009872572,0.005613543475172831,0.10080067550585331
6,0.1,100,17,uniform,300,0.06816378393599838,0.0049236947100393955,0.06036757585983833,1.0
6,0.1,100,18,complete_rollout,300,0.007987741872648448,0.0006914475093982271,0.0005154260330958515,0.022978334174158035
6,0.1,100,18,learned_mean,300,0.007526564509644181,0.0009471841979990414,0.003288268193245718,0.021651665419756307
6,0.1,100,18,learned_occupancy,300,0.008288371310294567,0.0007940996959305557,0.0017365325803799193,0.023843154769384818
6,0.1,100,18,occ_plus_mean,300,0.0059251085921854475,0.00047954457476836207,0.0028507836510103333,0.017044757757585138
6,0.1,100,18,occ_plus_uniform,300,0.014687672719453199,0.001246958951452315,0.002865399548206716,0.04225202283312616
6,0.1,100,18,oracle_tail,300,0.0025252603373583046,0.000201528359896,-0.00045847281129541987,0.007264415504869932
6,0.1,100,18,tis,300,0.3694672749322618,0.0927178022849256,0.14006470666836127,1.0628463770066896
6,0.1,100,18,tis_anchored,300,0.00750875259217673,0.000707610948725822,0.006261465735809848,0.021600425883179505
6,0.1,100,18,uniform,300,0.3476205808527081,0.047315635197559665,0.19187812102873578,1.0
6,0.1,100,19,complete_rollout,300,0.0026870556083600163,0.00022416258370022064,-0.00041954986810839313,0.08840334473830425
6,0.1,100,19,learned_mean,300,0.0023504447568037435,0.00023292892802519524,0.0008961923552802623,0.07732894603207681
6,0.1,100,19,learned_occupancy,300,0.003911534286483771,0.0003081130207050941,-0.0007660883880066301,0.12868833562948423
6,0.1,100,19,occ_plus_mean,300,0.0019953073723852294,0.000162526212835565,0.0006333114804225789,0.06564502980550828
6,0.1,100,19,occ_plus_uniform,300,0.006349491926728932,0.0005295072880584323,-0.006268888217906098,0.20889642996792468
6,0.1,100,19,oracle_tail,300,0.0010226730338485169,8.382826210843219e-05,-0.0007573274639906343,0.033645644133526595
6,0.1,100,19,tis,300,0.005079119557420523,0.0006867017255055297,0.00290083485937906,0.1671015500404004
6,0.1,100,19,tis_anchored,300,0.0024259930084260836,0.00021363739916751377,0.0012314952443671838,0.07981446144596216
6,0.1,100,19,uniform,300,0.030395406602706777,0.0021915070146175,0.003220945831255889,1.0
6,0.1,100,20,complete_rollout,300,0.00465614304780225,0.00042677269498052984,0.0050085632468963165,0.07778849483549269
6,0.1,100,20,learned_mean,300,0.005025404972769606,0.0009982758422044204,0.009771200849913035,0.08395762002094537
6,0.1,100,20,learned_occupancy,300,0.005285574287756738,0.0004367275431819489,0.0029088235131058383,0.08830417449907353
