horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.00020066346433527833,2.0950951552771048e-05,-0.001255932598401041,0.08341827696492664
6,0.1,400,0,uniform,300,0.00240550957938927,0.00018923232776460604,-0.0009163050292847993,1.0
6,0.1,400,1,tis,300,3.0433853579577136e-05,2.24921966831706e-06,0.0005409696976470402,0.0620557694612561
6,0.1,400,1,uniform,300,0.0004904274629706785,3.713128374593158e-05,-7.0369935258352e-06,1.0
6,0.1,400,2,tis,300,1.3975177044181815e-05,1.2382633128944915e-06,0.000317213552102474,0.04683118325019743
6,0.1,400,2,uniform,300,0.0002984160568721675,2.1655048501388075e-05,-0.0011574762289646415,1.0
6,0.1,400,3,tis,300,1.175355334235955e-05,9.258407255597121e-07,4.467536804794984e-05,0.05901654052924206
6,0.1,400,3,uniform,300,0.0001991569352753876,1.9738936162917155e-05,-0.0002492999595435578,1.0
6,0.1,400,4,tis,300,1.765014248242601e-05,1.9129715203001815e-06,-5.4654500469100145e-05,0.1876002949948046
6,0.1,400,4,uniform,300,9.40837672079077e-05,7.077692571340773e-06,-0.00012258312280745808,1.0
6,0.1,400,5,tis,300,0.00017382036926461814,1.4536389475778439e-05,-0.0007183135385166306,0.1565273779297382
6,0.1,400,5,uniform,300,0.0011104790201152057,9.131592324680542e-05,-0.0033018699088294993,1.0
6,0.1,400,6,tis,300,1.0500740687209738e-05,8.066754005639535e-07,-0.00014120300541399308,0.07382720696323623
6,0.1,400,6,uniform,300,0.00014223402346019668,1.1009428935652846e-05,-1.1647033552445822e-05,1.0
6,0.1,400,7,tis,300,1.5215768410479649e-05,1.2546278943556412e-06,-0.0002901911018906948,0.10910826588129892
6,0.1,400,7,uniform,300,0.00013945568915038197,1.3586900990841698e-05,0.0003160628424305519,1.0
6,0.1,400,8,tis,300,6.635725322772548e-05,5.059472278844758e-06,0.0007099390407193237,0.15427649425337917
6,0.1,400,8,uniform,300,0.00043011901164115307,3.6006122353942415e-05,0.001495135061341153,1.0
6,0.1,400,9,tis,300,0.0001089257341211342,1.1507651103124914e-05,1.0107768308672918e-05,0.24238535675942957
6,0.1,400,9,uniform,300,0.00044939073703715654,3.468661884544681e-05,0.0002810625585305959,1.0
6,0.1,400,10,tis,300,1.2280291996119778e-06,9.740794620734445e-08,-3.802606442092997e-05,0.07071384442922109
6,0.1,400,10,uniform,300,1.736617786126926e-05,1.5722322858750853e-06,0.00012520742740431244,1.0
6,0.1,400,11,tis,300,3.825122441976825e-06,3.1588932308278507e-07,0.0001994771528406325,0.0610547698587252
6,0.1,400,11,uniform,300,6.265067333523305e-05,5.353932466591055e-06,0.0004210036783133164,1.0
6,0.1,400,12,tis,300,8.764706962121722e-06,7.053637772573956e-07,-0.00046383036493177873,0.04961399834755053
6,0.1,400,12,uniform,300,0.00017665794441165897,1.6586923449747446e-05,-0.0016707407886494756,1.0
6,0.1,400,13,tis,300,1.0343443605579947e-05,8.488722628550314e-07,-0.0001489202418763321,0.08543978814895073
6,0.1,400,13,uniform,300,0.00012106120379825606,9.511134938324712e-06,0.0009374105337060949,1.0
6,0.1,400,14,tis,300,4.610844583411506e-06,4.098724411555421e-07,6.905440305763715e-05,0.04877637843166158
6,0.1,400,14,uniform,300,9.453027739383226e-05,8.479946835257923e-06,-0.00025879523597565365,1.0
6,0.1,400,15,tis,300,0.000121742682613553,1.561016378322929e-05,0.0005397255298126069,0.076094379281395
6,0.1,400,15,uniform,300,0.0015998906064185344,0.00014518459810561552,0.0027303242706151133,1.0
6,0.1,400,16,tis,300,1.7992225539836898e-05,1.4187729116298164e-06,1.3272662986570928e-05,0.0678457417966608
6,0.1,400,16,uniform,300,0.0002651931434954468,2.224905940365998e-05,0.0005460242429323214,1.0
6,0.1,400,17,tis,300,3.534821594043427e-05,3.0142889760572297e-06,0.0002492581644126017,0.08348539988183282
6,0.1,400,17,uniform,300,0.00042340596068853904,3.49224006952701e-05,0.0011295422924772424,1.0
6,0.1,400,18,tis,300,2.2997253907001175e-05,2.713392297205361e-06,9.719905699058006e-05,0.1282045310740586
6,0.1,400,18,uniform,300,0.00017937941595618477,1.5083176867955292e-05,0.0006197567107462376,1.0
6,0.1,400,19,tis,300,3.497929777550067e-05,2.7393430630916666e-06,-0.0005521006516950452,0.13311979110420682
6,0.1,400,19,uniform,300,0.0002627655699077735,2.6568916024549498e-05,-0.0012574551100394751,1.0
6,0.1,400,20,tis,300,4.664912042417152e-06,4.998720202101816e-07,0.00014471359276938767,0.1039947172428771
6,0.1,400,20,uniform,300,4.485720203962251e-05,3.856336323978107e-06,0.0007314879168208884,1.0
6,0.1,400,21,tis,300,5.4804396778942885e-05,4.247184306227262e-06,0.000320052494949327,0.10910393945099021
